Wall time,Step,Value
1717140865.0008972,0,4.264939785003662
1717140876.8888764,1,4.676525115966797
1717140889.2389164,2,6.147604465484619
1717140901.4407918,3,6.233180999755859
1717140914.1347663,4,7.2211079597473145
1717140926.9224524,5,7.3841118812561035
1717140939.7691371,6,7.6302924156188965
1717140952.4435215,7,8.0493803024292
1717140965.159512,8,8.634323120117188
1717140977.8339348,9,8.86833667755127
1717140990.6196005,10,8.851795196533203
1717141003.5150902,11,9.129697799682617
1717141015.7684038,12,9.20693302154541
1717141027.5183604,13,9.256644248962402
1717141040.1919396,14,9.352011680603027
1717141052.8946028,15,9.656218528747559
1717141065.50156,16,9.460750579833984
1717141078.1345644,17,9.719374656677246
1717141090.8034234,18,9.669503211975098
1717141103.4472702,19,9.23572063446045
1717141116.07886,20,9.874003410339355
1717141128.7435539,21,9.955589294433594
1717141141.424716,22,9.576545715332031
1717141154.1248977,23,10.534990310668945
1717141166.0808687,24,9.94305419921875
1717141176.4058013,25,10.154680252075195
1717141186.7684407,26,10.625956535339355
1717141197.1099968,27,10.331514358520508
1717141208.8929574,28,10.471170425415039
1717141221.0478425,29,9.99265193939209
1717141233.595141,30,10.658167839050293
1717141246.2213416,31,10.997781753540039
1717141259.0167994,32,10.642271041870117
1717141271.616177,33,11.092063903808594
1717141284.2532985,34,10.831660270690918
1717141296.852313,35,10.976388931274414
1717141309.3823497,36,10.751731872558594
1717141321.9751847,37,10.873588562011719
1717141334.6115818,38,10.938000679016113
1717141347.356318,39,10.951412200927734
1717141359.9279594,40,11.09135913848877
1717141372.6874692,41,11.109695434570312
1717141385.2793238,42,11.222521781921387
1717141396.980102,43,10.811838150024414
1717141409.405628,44,10.982566833496094
1717141422.1433418,45,11.037150382995605
1717141434.7587757,46,11.34891414642334
1717141447.487372,47,11.201845169067383
1717141460.2222254,48,11.113593101501465
1717141472.8676486,49,11.197265625
1717141485.4652324,50,11.091964721679688
1717141498.1120076,51,11.022814750671387
1717141510.6797802,52,11.192939758300781
1717141523.3775392,53,11.34765338897705
1717141536.0787892,54,11.054312705993652
1717141548.6754293,55,10.985345840454102
1717141561.348656,56,11.366314888000488
1717141574.0799706,57,11.43221664428711
1717141586.7163103,58,11.842684745788574
1717141599.3647895,59,11.843935012817383
1717141612.00434,60,11.369426727294922
1717141624.6849515,61,11.30721664428711
1717141636.3507876,62,11.219138145446777
1717141648.1430402,63,11.931692123413086
1717141658.7846103,64,11.878232955932617
1717141670.6098933,65,11.787549018859863
1717141682.7970636,66,11.756117820739746
1717141695.4062378,67,11.864459991455078
1717141708.088074,68,12.01555347442627
1717141720.801263,69,11.968704223632812
1717141733.2840428,70,11.304817199707031
1717141745.0611904,71,12.00471019744873
1717141756.9040952,72,12.142110824584961
1717141769.5254118,73,11.906122207641602
1717141782.1482515,74,12.369039535522461
1717141794.7494285,75,12.48625373840332
1717141807.2980614,76,12.94283390045166
1717141819.922385,77,12.084497451782227
1717141832.5518622,78,12.825109481811523
1717141845.1452997,79,12.281144142150879
1717141857.8010118,80,11.82438850402832
1717141870.4127042,81,12.156774520874023
1717141882.951737,82,12.34544563293457
1717141895.4750338,83,12.33741569519043
1717141907.5983448,84,12.765024185180664
1717141920.1980658,85,12.640227317810059
1717141932.1664872,86,12.368602752685547
1717141944.0272136,87,12.575848579406738
1717141956.3317873,88,12.726533889770508
1717141968.9108293,89,12.620960235595703
1717141981.668642,90,13.03864574432373
1717141994.3119738,91,12.78026294708252
1717142006.8965137,92,12.446352005004883
1717142019.7683916,93,12.899949073791504
1717142032.512633,94,12.813179016113281
1717142044.9997253,95,12.712210655212402
1717142057.3444157,96,12.881204605102539
1717142069.749435,97,13.50506591796875
1717142082.3118558,98,12.958194732666016
1717142094.669775,99,13.192479133605957
1717142107.1642463,100,12.6187162399292
1717142119.2981782,101,12.573237419128418
1717142131.5871823,102,13.257150650024414
1717142143.3330386,103,13.497980117797852
1717142155.749704,104,13.336709022521973
1717142167.08113,105,13.173955917358398
1717142178.1806307,106,13.685867309570312
1717142190.1236598,107,12.905691146850586
1717142202.7375596,108,12.962786674499512
1717142215.286725,109,13.051390647888184
1717142226.2872565,110,13.168567657470703
1717142238.2040749,111,13.795482635498047
1717142249.5967565,112,13.257180213928223
1717142261.6483114,113,13.417230606079102
1717142274.2255387,114,13.152301788330078
1717142286.8193917,115,13.645773887634277
1717142299.2197814,116,13.83627986907959
1717142311.5725803,117,13.516833305358887
1717142324.3264034,118,13.752142906188965
1717142337.056357,119,14.101197242736816
1717142349.6730793,120,14.541813850402832
1717142362.2988274,121,14.335576057434082
1717142374.9216459,122,13.778426170349121
1717142387.6205127,123,13.626514434814453
1717142400.298948,124,13.989133834838867
1717142413.0297432,125,14.172832489013672
1717142425.6859298,126,14.069305419921875
1717142438.3970187,127,14.185561180114746
1717142451.1601427,128,14.656678199768066
1717142463.9242053,129,14.44266128540039
1717142476.597486,130,14.376957893371582
1717142489.2098615,131,14.37801456451416
1717142501.894226,132,14.483821868896484
1717142514.4095807,133,14.477550506591797
1717142527.0713913,134,14.186763763427734
1717142539.804958,135,14.374083518981934
1717142552.2775834,136,14.697651863098145
1717142564.8045788,137,15.57936954498291
1717142577.4358742,138,15.156075477600098
1717142590.0322998,139,15.205780029296875
1717142602.6050818,140,14.632744789123535
1717142615.2501853,141,14.930251121520996
1717142627.8678348,142,14.488239288330078
1717142640.4950397,143,14.783075332641602
1717142653.2294967,144,15.302099227905273
