Wall time,Step,Value
1717140864.1887403,0,11.587432861328125
1717140876.2234445,1,23.622180938720703
1717140888.5744557,2,35.97317123413086
1717140900.6398008,3,48.03852081298828
1717140913.3617296,4,60.76045227050781
1717140926.159553,5,73.55825805664062
1717140939.0126817,6,86.4113998413086
1717140951.6876945,7,99.08641815185547
1717140964.395328,8,111.79405975341797
1717140977.057966,9,124.45668029785156
1717140989.7931347,10,137.1918487548828
1717141002.7609208,11,150.15965270996094
1717141015.1175244,12,162.51625061035156
1717141026.8657932,13,174.2645263671875
1717141039.446276,14,186.84498596191406
1717141052.1416354,15,199.5403594970703
1717141064.7453604,16,212.1440887451172
1717141077.3851426,17,224.78387451171875
1717141090.044956,18,237.4436798095703
1717141102.6929595,19,250.0916748046875
1717141115.3267384,20,262.7254638671875
1717141127.9904542,21,275.3891906738281
1717141140.6590357,22,288.0577697753906
1717141153.3784928,23,300.7772216796875
1717141165.4436185,24,312.84234619140625
1717141175.760104,25,323.1588439941406
1717141186.1358597,26,333.53460693359375
1717141196.4549756,27,343.85369873046875
1717141208.1342778,28,355.5329895019531
1717141220.2894297,29,367.6881408691406
1717141232.8474836,30,380.2462158203125
1717141245.4745347,31,392.8732604980469
1717141258.2764547,32,405.6751708984375
1717141270.860124,33,418.25885009765625
1717141283.5008118,34,430.8995361328125
1717141296.110327,35,443.50897216796875
1717141308.615991,36,456.01470947265625
1717141321.2359433,37,468.6346740722656
1717141333.8584921,38,481.2572326660156
1717141346.5647192,39,493.96343994140625
1717141359.163025,40,506.5617370605469
1717141371.927751,41,519.3264770507812
1717141384.6274693,42,532.0261840820312
1717141396.321023,43,543.7197875976562
1717141408.6478808,44,556.046630859375
1717141421.351823,45,568.7505493164062
1717141433.992455,46,581.3911743164062
1717141446.7357624,47,594.134521484375
1717141459.4717846,48,606.8705444335938
1717141472.112861,49,619.5115966796875
1717141484.7004564,50,632.0991821289062
1717141497.3359077,51,644.734619140625
1717141509.844568,52,657.2432861328125
1717141522.6238937,53,670.0226440429688
1717141535.3242097,54,682.7229614257812
1717141547.9220781,55,695.32080078125
1717141560.5956552,56,707.994384765625
1717141573.314117,57,720.7128295898438
1717141585.9537394,58,733.3524780273438
1717141598.6185095,59,746.0172119140625
1717141611.2517467,60,758.6504516601562
1717141623.9305434,61,771.3292846679688
1717141635.713066,62,783.11181640625
1717141647.500891,63,794.8995971679688
1717141658.1477792,64,805.5465087890625
1717141669.966977,65,817.36572265625
1717141682.027199,66,829.4259033203125
1717141694.6454349,67,842.0441284179688
1717141707.3195906,68,854.7183227539062
1717141720.0542803,69,867.4530029296875
1717141732.556675,70,879.9553833007812
1717141744.4218354,71,891.820556640625
1717141756.1526089,72,903.5513305664062
1717141768.7757678,73,916.1744995117188
1717141781.406814,74,928.8055419921875
1717141793.993174,75,941.3919067382812
1717141806.5467088,76,953.9454345703125
1717141819.1764255,77,966.5751342773438
1717141831.7945602,78,979.1932983398438
1717141844.3815358,79,991.7802734375
1717141857.0447025,80,1004.4434204101562
1717141869.6653535,81,1017.0640869140625
1717141882.2026498,82,1029.601318359375
1717141894.72802,83,1042.126708984375
1717141906.84301,84,1054.24169921875
1717141919.402126,85,1066.8009033203125
1717141931.5290177,86,1078.927734375
1717141943.381014,87,1090.77978515625
1717141955.6694264,88,1103.068115234375
1717141968.1334612,89,1115.5322265625
1717141980.89575,90,1128.29443359375
1717141993.5524466,91,1140.951171875
1717142006.1396077,92,1153.538330078125
1717142018.982289,93,1166.3809814453125
1717142031.7584589,94,1179.1572265625
1717142044.2252798,95,1191.6240234375
1717142056.5830023,96,1203.981689453125
1717142068.994061,97,1216.392822265625
1717142081.5344422,98,1228.9332275390625
1717142093.9173863,99,1241.316162109375
1717142106.40012,100,1253.798828125
1717142118.5176194,101,1265.9163818359375
1717142130.878829,102,1278.277587890625
1717142142.6727574,103,1290.0714111328125
1717142155.0025156,104,1302.4012451171875
1717142166.4444683,105,1313.84326171875
1717142177.5337775,106,1324.9324951171875
1717142189.3691535,107,1336.7679443359375
1717142201.991168,108,1349.389892578125
1717142214.6072726,109,1362.0059814453125
1717142225.6471803,110,1373.0458984375
1717142237.4219234,111,1384.8206787109375
1717142248.9518437,112,1396.3505859375
1717142260.8850563,113,1408.2838134765625
1717142273.4786305,114,1420.8773193359375
1717142286.0694218,115,1433.4681396484375
1717142298.4680245,116,1445.86669921875
1717142310.8116965,117,1458.21044921875
1717142323.577327,118,1470.97607421875
1717142336.316473,119,1483.7152099609375
1717142348.9311867,120,1496.3299560546875
1717142361.5367951,121,1508.935546875
1717142374.1592145,122,1521.5579833984375
1717142386.8463874,123,1534.2451171875
1717142399.5571892,124,1546.9559326171875
1717142412.2793682,125,1559.6781005859375
1717142424.937129,126,1572.3358154296875
1717142437.6436489,127,1585.0423583984375
1717142450.3917937,128,1597.79052734375
1717142463.0948792,129,1610.49365234375
1717142475.8249354,130,1623.2236328125
1717142488.456099,131,1635.8548583984375
1717142501.105053,132,1648.5037841796875
1717142513.657029,133,1661.0557861328125
1717142526.323207,134,1673.721923828125
1717142539.0432587,135,1686.4420166015625
1717142551.5311637,136,1698.929931640625
1717142564.0640779,137,1711.4627685546875
1717142576.684175,138,1724.0828857421875
1717142589.253853,139,1736.652587890625
1717142601.8521461,140,1749.2508544921875
1717142614.4991522,141,1761.8978271484375
1717142627.1194026,142,1774.51806640625
1717142639.7454255,143,1787.1441650390625
1717142652.4815352,144,1799.8802490234375
1717142665.1954832,145,1812.59423828125
1717142677.82387,146,1825.22265625
1717142690.4512212,147,1837.8499755859375
1717142703.1465497,148,1850.5452880859375
1717142715.8232267,149,1863.221923828125
1717142728.4871645,150,1875.8858642578125
1717142741.1031017,151,1888.5018310546875
1717142753.821278,152,1901.219970703125
1717142766.658193,153,1914.056884765625
1717142779.375415,154,1926.774169921875
1717142792.018976,155,1939.417724609375
1717142804.7077081,156,1952.1064453125
1717142817.4223835,157,1964.8211669921875
1717142829.9382353,158,1977.3369140625
1717142842.5718489,159,1989.9705810546875
1717142855.2636738,160,2002.662353515625
1717142867.8231013,161,2015.2218017578125
1717142880.444078,162,2027.8427734375
1717142893.150142,163,2040.548828125
1717142905.7281904,164,2053.126953125
1717142918.095107,165,2065.493896484375
1717142930.8229432,166,2078.2216796875
1717142943.3611329,167,2090.759765625
