Wall time,Step,Value
1716458152.6202102,0,0.5249999761581421
1716458169.0564895,1,0.5699999928474426
1716458185.6969576,2,0.6299999952316284
1716458202.19255,3,0.6600000262260437
1716458218.552371,4,0.7149999737739563
1716458234.88533,5,0.7950000166893005
1716458251.3583767,6,0.8500000238418579
1716458267.5856693,7,0.8700000047683716
1716458283.988759,8,0.9049999713897705
1716458300.2522147,9,0.9200000166893005
1716458316.729887,10,0.9150000214576721
1716458333.0149097,11,0.9150000214576721
1716458349.2904754,12,0.9200000166893005
1716458365.6683905,13,0.9100000262260437
1716458381.521783,14,0.9100000262260437
1716458396.9933789,15,0.8999999761581421
1716458413.3353543,16,0.8949999809265137
1716458429.7467358,17,0.8849999904632568
1716458445.988484,18,0.8899999856948853
1716458462.217624,19,0.8949999809265137
1716458478.5234601,20,0.8700000047683716
1716458494.8919077,21,0.8700000047683716
1716458511.1322842,22,0.8650000095367432
1716458527.3647277,23,0.8799999952316284
1716458543.8001974,24,0.8700000047683716
1716458560.0752084,25,0.8600000143051147
1716458576.511663,26,0.8600000143051147
1716458592.754248,27,0.8600000143051147
1716458608.9246492,28,0.8650000095367432
1716458625.4393983,29,0.8550000190734863
1716458641.9673507,30,0.8550000190734863
1716458658.3357847,31,0.8550000190734863
1716458674.7265859,32,0.8550000190734863
1716458691.2714205,33,0.8550000190734863
1716458707.7955058,34,0.8500000238418579
1716458724.192179,35,0.8550000190734863
1716458740.5097766,36,0.8550000190734863
1716458756.9236784,37,0.8550000190734863
1716458773.2748752,38,0.8450000286102295
1716458789.6239164,39,0.8450000286102295
1716458806.0787518,40,0.8500000238418579
1716458822.3242295,41,0.8450000286102295
1716458838.6093912,42,0.8500000238418579
1716458854.8646784,43,0.8550000190734863
1716458871.1400297,44,0.8450000286102295
1716458887.5913334,45,0.8450000286102295
1716458903.951787,46,0.8450000286102295
1716458920.2379057,47,0.8299999833106995
1716458936.631542,48,0.8450000286102295
1716458952.9575365,49,0.8399999737739563
1716458969.2830508,50,0.8349999785423279
1716458985.5289109,51,0.8299999833106995
1716459002.0221558,52,0.8500000238418579
1716459018.3708851,53,0.8450000286102295
1716459034.0433004,54,0.8500000238418579
