Wall time,Step,Value
1716458151.8124707,0,15.522047996520996
1716458168.2639132,1,31.97355842590332
1716458184.892399,2,48.602027893066406
1716458201.384573,3,65.09418487548828
1716458217.7457526,4,81.45535278320312
1716458234.0792215,5,97.78880310058594
1716458250.5517368,6,114.26136016845703
1716458266.8060646,7,130.51568603515625
1716458283.1883974,8,146.8980255126953
1716458299.473173,9,163.18280029296875
1716458315.917276,10,179.626953125
1716458332.2222562,11,195.93190002441406
1716458348.5130074,12,212.22265625
1716458364.870688,13,228.580322265625
1716458380.7367735,14,244.44638061523438
1716458396.2078753,15,259.91748046875
1716458412.5493102,16,276.2589111328125
1716458428.9245431,17,292.6341857910156
1716458445.192942,18,308.902587890625
1716458461.4249523,19,325.13458251953125
1716458477.7244282,20,341.43408203125
1716458494.0965645,21,357.8061828613281
1716458510.3314884,22,374.0411071777344
1716458526.5784776,23,390.2881164550781
1716458542.9600275,24,406.66961669921875
1716458559.2794929,25,422.9891357421875
1716458575.6612864,26,439.3708801269531
1716458591.938686,27,455.6482849121094
1716458608.1405432,28,471.8501892089844
1716458624.6401238,29,488.3497314453125
1716458641.174529,30,504.8841552734375
1716458657.534464,31,521.2440185546875
1716458673.9383557,32,537.6480102539062
1716458690.4573007,33,554.1669921875
1716458706.989763,34,570.6994018554688
1716458723.4090405,35,587.11865234375
1716458739.7174973,36,603.4271240234375
1716458756.1441681,37,619.8538208007812
1716458772.4804919,38,636.1901245117188
1716458788.8420038,39,652.5516357421875
1716458805.2861986,40,668.9957885742188
1716458821.543377,41,685.2529907226562
1716458837.8207877,42,701.5303955078125
1716458854.06254,43,717.7721557617188
1716458870.344264,44,734.0538940429688
1716458886.8033717,45,750.5130004882812
1716458903.1466563,46,766.8562622070312
1716458919.4217048,47,783.13134765625
1716458935.831306,48,799.5409545898438
1716458952.1542897,49,815.8638916015625
1716458968.481781,50,832.19140625
1716458984.7355719,51,848.4451904296875
1716459001.2256808,52,864.935302734375
1716459017.5832024,53,881.2928466796875
1716459033.2738647,54,896.9835205078125
1716459049.5479965,55,913.2576904296875
1716459066.0683305,56,929.7779541015625
1716459082.4447806,57,946.1543579101562
1716459098.6898417,58,962.3994750976562
1716459114.7626455,59,978.4722900390625
1716459129.7340088,60,993.4436645507812
1716459146.0326145,61,1009.7422485351562
1716459162.4428253,62,1026.1524658203125
1716459178.8153806,63,1042.5250244140625
1716459195.082245,64,1058.7918701171875
1716459211.421467,65,1075.131103515625
1716459227.715245,66,1091.4249267578125
1716459244.7889748,67,1108.49853515625
1716459261.4054656,68,1125.1151123046875
1716459277.9014645,69,1141.611083984375
1716459294.4723625,70,1158.1820068359375
1716459310.8821213,71,1174.5916748046875
1716459327.310404,72,1191.02001953125
1716459343.8014386,73,1207.5111083984375
1716459360.1927834,74,1223.9024658203125
1716459376.713739,75,1240.42333984375
1716459392.9938128,76,1256.7034912109375
1716459409.4555807,77,1273.1651611328125
1716459425.7207897,78,1289.430419921875
1716459442.1542597,79,1305.8638916015625
1716459458.4609234,80,1322.1705322265625
1716459474.806784,81,1338.5164794921875
1716459491.2757094,82,1354.9853515625
1716459507.6205127,83,1371.3302001953125
1716459524.0583353,84,1387.7679443359375
1716459540.7483287,85,1404.4578857421875
1716459557.3057282,86,1421.015380859375
1716459573.8549657,87,1437.5645751953125
1716459590.4658887,88,1454.175537109375
1716459606.8511395,89,1470.5606689453125
1716459623.4443176,90,1487.1539306640625
1716459639.4770525,91,1503.1866455078125
1716459655.9566936,92,1519.666259765625
1716459672.307549,93,1536.0172119140625
1716459688.676919,94,1552.3865966796875
1716459704.9772413,95,1568.6868896484375
1716459721.4718869,96,1585.1815185546875
1716459737.8984413,97,1601.6080322265625
1716459754.2203212,98,1617.929931640625
1716459770.76436,99,1634.4739990234375
1716459787.2337856,100,1650.943359375
1716459803.703746,101,1667.413330078125
1716459820.1071014,102,1683.8167724609375
1716459836.6143794,103,1700.323974609375
1716459853.0252693,104,1716.73486328125
1716459869.3835702,105,1733.09326171875
1716459885.7941716,106,1749.5037841796875
1716459902.1855352,107,1765.8951416015625
1716459918.657486,108,1782.3670654296875
1716459934.9400425,109,1798.649658203125
1716459951.3280013,110,1815.03759765625
1716459967.7265873,111,1831.436279296875
1716459984.0010083,112,1847.7105712890625
1716460000.3979316,113,1864.1075439453125
1716460016.7660558,114,1880.4757080078125
1716460033.225055,115,1896.9346923828125
1716460049.5430393,116,1913.252685546875
1716460065.9371362,117,1929.646728515625
1716460082.2138302,118,1945.9234619140625
1716460098.6160438,119,1962.32568359375
1716460114.917779,120,1978.62744140625
1716460131.3887842,121,1995.098388671875
1716460147.8307126,122,2011.5404052734375
1716460164.1615307,123,2027.87109375
1716460180.7112284,124,2044.4208984375
1716460197.043425,125,2060.753173828125
1716460213.4537668,126,2077.163330078125
1716460229.8504245,127,2093.56005859375
1716460246.1779726,128,2109.8876953125
1716460262.5728219,129,2126.282470703125
1716460279.0023053,130,2142.7119140625
1716460295.3350563,131,2159.044677734375
1716460311.6437194,132,2175.353271484375
1716460328.1637952,133,2191.873291015625
1716460344.4218285,134,2208.131591796875
1716460360.759275,135,2224.468994140625
1716460377.2354445,136,2240.945068359375
1716460393.595884,137,2257.305419921875
1716460409.947131,138,2273.65673828125
1716460426.238357,139,2289.947998046875
1716460442.7356968,140,2306.4453125
1716460459.028838,141,2322.738525390625
1716460475.338634,142,2339.04833984375
1716460491.688736,143,2355.3984375
1716460508.1218896,144,2371.83154296875
1716460524.456609,145,2388.166259765625
1716460540.8526392,146,2404.562255859375
1716460557.433693,147,2421.143310546875
1716460573.916697,148,2437.626220703125
1716460590.4634516,149,2454.173095703125
1716460606.8662913,150,2470.575927734375
1716460623.3609982,151,2487.070556640625
1716460639.8929858,152,2503.6025390625
1716460656.342829,153,2520.052490234375
1716460672.9139292,154,2536.62353515625
1716460688.8734694,155,2552.5830078125
1716460705.3113775,156,2569.02099609375
1716460721.787796,157,2585.497314453125
1716460738.1044118,158,2601.81396484375
1716460754.465185,159,2618.1748046875
1716460771.0176039,160,2634.727294921875
1716460787.3482983,161,2651.057861328125
1716460803.8252084,162,2667.534912109375
1716460820.3223603,163,2684.031982421875
1716460836.853861,164,2700.5634765625
1716460853.401085,165,2717.110595703125
1716460869.9442348,166,2733.65380859375
1716460886.410398,167,2750.119873046875
1716460902.8195417,168,2766.529052734375
1716460919.3442953,169,2783.053955078125
1716460935.7490668,170,2799.458740234375
1716460952.1052792,171,2815.81494140625
1716460968.446365,172,2832.156005859375
1716460984.850706,173,2848.560302734375
1716461001.3426397,174,2865.05224609375
1716461017.6846852,175,2881.394287109375
1716461034.1408381,176,2897.850341796875
1716461050.4202785,177,2914.1298828125
1716461066.8048966,178,2930.5146484375
1716461083.4064865,179,2947.115966796875
1716461099.966845,180,2963.676513671875
1716461116.5034626,181,2980.213134765625
1716461132.970387,182,2996.679931640625
1716461149.419487,183,3013.129150390625
1716461166.0367405,184,3029.746337890625
1716461182.4662576,185,3046.17578125
1716461199.0680678,186,3062.777587890625
1716461215.548697,187,3079.25830078125
1716461231.8803453,188,3095.590087890625
1716461248.3772411,189,3112.0869140625
1716461264.8171828,190,3128.52685546875
1716461281.2361007,191,3144.94580078125
1716461297.6682367,192,3161.3779296875
1716461314.1221159,193,3177.831787109375
1716461330.7338405,194,3194.443359375
1716461347.3641934,195,3211.07373046875
1716461364.024726,196,3227.734375
1716461380.4912188,197,3244.200927734375
1716461397.0076377,198,3260.71728515625
1716461413.521695,199,3277.231201171875
1716461430.0667422,200,3293.7763671875
1716461446.7387228,201,3310.4482421875
1716461463.4206557,202,3327.13037109375
1716461479.9967778,203,3343.70654296875
1716461496.536926,204,3360.24658203125
1716461513.0083191,205,3376.718017578125
1716461529.4990027,206,3393.20849609375
1716461545.755281,207,3409.46484375
1716461562.2619536,208,3425.9716796875
1716461578.5741568,209,3442.283935546875
1716461595.1117597,210,3458.8212890625
1716461611.502186,211,3475.2119140625
1716461627.8076735,212,3491.517333984375
1716461644.2119243,213,3507.921630859375
1716461660.6152244,214,3524.324951171875
1716461676.9885952,215,3540.6982421875
1716461693.5656683,216,3557.275390625
1716461710.0136328,217,3573.72314453125
1716461726.2947183,218,3590.00439453125
1716461742.8969119,219,3606.6064453125
1716461759.7892377,220,3623.498779296875
1716461776.7098725,221,3640.41943359375
1716461793.5746734,222,3657.2841796875
1716461810.378106,223,3674.087646484375
1716461827.2284856,224,3690.93798828125
1716461844.0543234,225,3707.763916015625
1716461860.733751,226,3724.443359375
1716461877.5774605,227,3741.287109375
1716461894.2347121,228,3757.9443359375
1716461911.1002939,229,3774.809814453125
1716461927.8039365,230,3791.513427734375
1716461944.5213726,231,3808.23095703125
1716461961.2384303,232,3824.947998046875
1716461977.8641813,233,3841.57373046875
1716461994.552309,234,3858.261962890625
1716462011.3156137,235,3875.025146484375
1716462027.988952,236,3891.698486328125
1716462044.6460204,237,3908.355712890625
1716462061.411943,238,3925.12158203125
1716462076.8782513,239,3940.587890625
1716462092.5422268,240,3956.251953125
1716462107.5825293,241,3971.292236328125
1716462121.84532,242,3985.554931640625
1716462135.8888607,243,3999.5986328125
1716462151.6958606,244,4015.405517578125
1716462165.7685704,245,4029.478271484375
1716462179.8364303,246,4043.546142578125
1716462196.6546376,247,4060.3642578125
1716462213.3779998,248,4077.087646484375
1716462230.1555958,249,4093.865234375
1716462246.8078926,250,4110.517578125
1716462263.5721946,251,4127.28173828125
1716462280.366706,252,4144.076171875
1716462297.0204868,253,4160.72998046875
1716462313.770587,254,4177.47998046875
1716462330.2755477,255,4193.9853515625
1716462346.794984,256,4210.50439453125
1716462363.6489813,257,4227.3583984375
1716462380.3293867,258,4244.0390625
1716462396.9971354,259,4260.70654296875
1716462413.62718,260,4277.3369140625
1716462430.2827694,261,4293.9921875
1716462446.9994326,262,4310.708984375
1716462463.8351796,263,4327.544921875
1716462480.5164473,264,4344.22607421875
1716462497.110383,265,4360.81982421875
1716462513.776121,266,4377.48583984375
1716462530.4175184,267,4394.126953125
1716462547.220012,268,4410.9296875
1716462564.0014758,269,4427.7109375
1716462580.665768,270,4444.37548828125
1716462597.3106208,271,4461.02001953125
1716462613.6548047,272,4477.3642578125
1716462627.7750354,273,4491.48486328125
1716462641.9199944,274,4505.6298828125
1716462657.00634,275,4520.7158203125
1716462671.0959697,276,4534.8056640625
1716462685.186536,277,4548.89599609375
1716462699.2908444,278,4563.00048828125
1716462716.0859344,279,4579.79541015625
1716462732.8137498,280,4596.5234375
1716462749.6349883,281,4613.3447265625
1716462766.328567,282,4630.0380859375
1716462782.9590123,283,4646.66845703125
1716462799.6914334,284,4663.40087890625
1716462816.3830118,285,4680.0927734375
1716462833.2478576,286,4696.95751953125
1716462850.070744,287,4713.7802734375
1716462866.7700756,288,4730.4794921875
1716462883.465409,289,4747.1748046875
1716462900.1334152,290,4763.84326171875
1716462916.7944317,291,4780.50390625
1716462933.6425335,292,4797.35205078125
1716462950.220531,293,4813.93017578125
1716462966.9114194,294,4830.62109375
1716462983.5550065,295,4847.2646484375
1716463000.2106075,296,4863.92041015625
1716463016.9290488,297,4880.638671875
1716463033.6858222,298,4897.3955078125
1716463050.3916214,299,4914.10107421875
1716463067.05867,300,4930.7685546875
1716463083.6754694,301,4947.38525390625
1716463100.3286457,302,4964.0380859375
1716463117.0719125,303,4980.78173828125
1716463133.8622408,304,4997.57177734375
1716463150.549485,305,5014.25927734375
1716463167.2160025,306,5030.92578125
1716463183.9056673,307,5047.615234375
1716463200.5894833,308,5064.29931640625
1716463217.371558,309,5081.0810546875
1716463234.056385,310,5097.76611328125
1716463250.7441092,311,5114.45361328125
1716463267.5209222,312,5131.23046875
1716463284.2066,313,5147.916015625
1716463300.4388404,314,5164.1484375
1716463315.943534,315,5179.6533203125
1716463332.301158,316,5196.0107421875
1716463348.1534538,317,5211.86328125
1716463362.2506647,318,5225.96044921875
1716463376.3207376,319,5240.0302734375
1716463392.128244,320,5255.837890625
1716463408.9048133,321,5272.6142578125
1716463425.60148,322,5289.31103515625
1716463442.2832446,323,5305.99267578125
1716463459.0134907,324,5322.72314453125
1716463475.648643,325,5339.3583984375
1716463492.2685707,326,5355.97802734375
1716463508.912713,327,5372.62255859375
1716463525.6338131,328,5389.34326171875
1716463542.306921,329,5406.0166015625
1716463558.904311,330,5422.61376953125
1716463575.5570934,331,5439.2666015625
1716463592.06131,332,5455.77099609375
1716463608.7761059,333,5472.48583984375
1716463625.323707,334,5489.033203125
1716463641.8821213,335,5505.591796875
1716463658.430261,336,5522.1396484375
1716463674.880089,337,5538.58984375
1716463691.5007935,338,5555.21044921875
1716463708.2467136,339,5571.95654296875
1716463724.9610293,340,5588.67041015625
1716463741.4899645,341,5605.19970703125
